title;year;author
Fully Autonomous AI.;2020;Wolfhart Totschnig
Correcting the Brain? The Convergence of Neuroscience, Neurotechnology, Psychiatry, and Artificial Intelligence.;2020;Stephen Rainey and Yasemin J. Erden
Artificial Intelligence Crime: An Interdisciplinary Analysis of Foreseeable Threats and Solutions.;2020;Thomas C. King and Nikita Aggarwal and Mariarosaria Taddeo and Luciano Floridi
"Keeping the ""Human in the Loop"" in the Age of Artificial Intelligence.";2020;Fabrice Jotterand and Clara Bosco
How to Design AI for Social Good: Seven Essential Factors.;2020;Luciano Floridi and Josh Cowls and Thomas C. King and Mariarosaria Taddeo
Reporting of screening and diagnostic AI rarely acknowledges ethical, legal, and social implications: a mass media frame analysis.;2020;Emma K. Frost and Stacy M. Carter
A Trustworthy Privacy Preserving Framework for Machine Learning in Industrial IoT Systems.;2020;Mahawaga Arachchige Pathum Chamikara and Peter Bertók and Ibrahim Khalil and Dongxi Liu and Seyit Camtepe and Mohammed Atiquzzaman
Trustworthy Human-Centered Automation Through Explainable AI and High-Fidelity Simulation.;2020;Bradley Hayes and Michael Moniz
Self-explaining AI as an Alternative to Interpretable AI.;2020;Daniel C. Elton
Expert Level Evaluations for Explainable AI (XAI) Methods in the Medical Domain.;2020;Satya M. Muddamsetty and Mohammad N. S. Jahromi and Thomas B. Moeslund
Explainable Artificial Intelligence in Meteorology and Climate Science: Model Fine-Tuning, Calibrating Trust and Learning New Science.;2020;Antonios Mamalakis and Imme Ebert-Uphoff and Elizabeth A. Barnes
For a Science-oriented, Socially Responsible, and Self-aware AI: beyond ethical issues.;2020;Cristiano Castelfranchi
Good Counterfactuals and Where to Find Them: A Case-Based Technique for Generating Counterfactuals for Explainable AI (XAI).;2020;Mark T. Keane and Barry Smyth
Persuasion Meets AI: Ethical Considerations for the Design of Social Engineering Countermeasures.;2020;Nicolás E. Díaz Ferreyra and Esma Aïmeur and Hicham Hage and Maritta Heisel and Catherine García van Hoogstraten
Build confidence and acceptance of AI-based decision support systems - Explainable and liable AI.;2020;Claire Nicodeme
AI Augmentation for Trustworthy AI: Augmented Robot Teleoperation.;2020;Daniel L. Marino and Javier Grandio and Chathurika S. Wickramasinghe and Kyle Schroeder and Keith Bourne and Afroditi V. Filippas and Milos Manic
ExplainEx: An Explainable Artificial Intelligence Framework for Interpreting Predictive Models.;2020;Nnaemeka E. Udenwagu and Ambrose A. Azeta and Sanjay Misra and Vivian O. Nwaocha and Daniel L. Enosegbe and Mayank Mohan Sharma
What Are People Doing About XAI User Experience? A Survey on AI Explainability Research and Practice.;2020;Juliana Jansen Ferreira and Mateus de Souza Monteiro
Constrained Interval Type-2 Fuzzy Classification Systems for Explainable AI (XAI).;2020;Pasquale D'Alterio and Jonathan M. Garibaldi and Robert I. John
Hybrid Deep Learning Type-2 Fuzzy Logic Systems For Explainable AI.;2020;Ravikiran Chimatapu and Hani Hagras and Mathias Kern and Gilbert Owusu
Towards Quantification of Explainability in Explainable Artificial Intelligence Methods.;2020;Sheikh Rabiul Islam and William Eberle and Sheikh K. Ghafoor
A Responsible Machine Learning Workflow with Focus on Interpretable Models, Post-hoc Explanation, and Discrimination Testing.;2020;Navdeep Gill and Patrick Hall and Kim Montgomery and Nicholas Schmidt
The Human Side of Artificial Intelligence.;2020;Matthew A. Butkus
Accounting for Training Data Error in Machine Learning Applied to Earth Observations.;2020;Arthur Elmes and Seyed Hamed Alemohammad and Ryan Avery and Kelly K. Caylor and J. Ronald Eastman and Lewis Fishgold and Mark A. Friedl and Meha Jain and Divyani Kohli and Juan Carlos Laso Bayas and Dalton D. Lunga and Jessica L. McCarty and Robert Gilmore Pontius Jr. and Andrew B. Reinmann and John Rogan and Lei Song and Hristiana Stoynova and Su Ye and Zhuang-Fang Yi and Lyndon D. Estes
Artificial Intelligence: Ethics in Practice.;2020;Jessica Cussins Newman and Rajvardhan Oak
T-Safe: Trustworthy Service Provisioning for IoT-Based Intelligent Transport Systems.;2020;Prajnamaya Dass and Sudip Misra and Chandana Roy
Intersectional AI: A Study of How Information Science Students Think about Ethics and Their Impact.;2020;Nora McDonald and Shimei Pan
A robust algorithm for explaining unreliable machine learning survival models using the Kolmogorov-Smirnov bounds.;2020;Maxim S. Kovalev and Lev V. Utkin
Explainable AI and Mass Surveillance System-Based Healthcare Framework to Combat COVID-I9 Like Pandemics.;2020;M. Shamim Hossain and Ghulam Muhammad and Nadra Guizani
Artificial intelligence in a crisis needs ethics with urgency.;2020;Asaf Tzachor and Jess Whittlestone and Lalitha Sundaram and Seán Ó hÉigeartaigh
Towards ethical and socio-legal governance in AI.;2020;Andreas Theodorou and Virginia Dignum
Accelerating evidence-informed decision-making for the Sustainable Development Goals using machine learning.;2020;Jaron Porciello and Maryia Ivanina and Maidul Islam and Stefan Einarson and Haym Hirsh
An embedded ethics approach for AI development.;2020;Stuart McLennan and Amelia Fiske and Leo Anthony Celi and Ruth Müller and Jan Harder and Konstantin Ritt and Sami Haddadin and Alena Buyx
From local explanations to global understanding with explainable AI for trees.;2020;Scott M. Lundberg and Gabriel G. Erion and Hugh Chen and Alex J. DeGrave and Jordan M. Prutkin and Bala Nair and Ronit Katz and Jonathan Himmelfarb and Nisha Bansal and Su-In Lee
Drug discovery with explainable artificial intelligence.;2020;José Jiménez-Luna and Francesca Grisoni and Gisbert Schneider
Scientific AI in materials science: a path to a sustainable and scalable paradigm.;2020;Brian DeCost and Jason Hattrick-Simpers and Zachary Trautt and Aaron Gilad Kusne and Eva Campo and Martin Green
Challenges of Explaining the Behavior of Black-Box AI Systems.;2020;Aleksandre Asatiani and Pekka Malo and Per Rådberg Nagbøl and Esko Penttinen and Tapani Rinta-Kahila and Antti Salovaara
Neurorobots as a Means Toward Neuroethology and Explainable AI.;2020;Kexin Chen 0002 and Tiffany Hwu and Hirak Jyoti Kashyap and Jeffrey L. Krichmar and Kenneth Michael Stewart and Jinwei Xing and Xinyun Zou
Explainability for artificial intelligence in healthcare: a multidisciplinary perspective.;2020;Julia Amann and Alessandro Blasimme and Effy Vayena and Dietmar Frey and Vince I. Madai
COVID-19 Symptoms Detection Based on NasNetMobile with Explainable AI Using Various Imaging Modalities.;2020;Md. Manjurul Ahsan and Kishor Datta Gupta and Mohammad Maminur Islam and Sajib Sen and Md. Lutfar Rahman and Mohammad Shakhawat Hossain
Dynamics of soil water content using field monitoring and AI: A case study of a vegetated soil in an urban environment in China.;2020;Ankit Garg and Vinay Kumar Gadi and Yi-Cheng Feng and Peng Lin and Wang Qinhua and Suriya Ganesan and Guoxiong Mei
An Information-Theoretic Approach to Personalized Explainable Machine Learning.;2020;Alexander Jung and Pedro H. J. Nardelli
SurvLIME: A method for explaining machine learning survival models.;2020;Maxim S. Kovalev and Lev V. Utkin and Ernest M. Kasimov
Machine learning explainability via microaggregation and shallow decision trees.;2020;Alberto Blanco-Justicia and Josep Domingo-Ferrer and Sergio Martínez and David Sánchez 0001
Explainable Machine Learning Framework for Image Classification Problems: Case Study on Glioma Cancer Prediction.;2020;Emmanuel Pintelas and Meletis Liaskos and Ioannis E. Livieris and Sotiris Kotsiantis and Panayiotis E. Pintelas
Swarm intelligence and ant colony optimization in accounting model choices.;2020;Ziyuan Tang and Gautam Srivastava 0001 and Shuai Liu 0002
AI and Big Data Standardization: Contributing to United Nations Sustainable Development Goals.;2020;Ray Walshe and Kevin Casey and Jane Kernan and Donal Fitzpatrick
Data Quality and Explainable AI.;2020;Leopoldo E. Bertossi and Floris Geerts
Explainable artificial intelligence models using real-world electronic health record data: a systematic scoping review.;2020;Seyedeh Neelufar Payrovnaziri and Zhaoyi Chen and Pablo Rengifo-Moreno and Tim Miller 0001 and Jiang Bian 0001 and Jonathan H. Chen and Xiuwen Liu and Zhe He 0001
Patient safety and quality improvement: Ethical principles for a regulatory approach to bias in healthcare machine learning.;2020;Melissa D. McCradden and Shalmali Joshi and James A. Anderson and Mjaye Mazwi and Anna Goldenberg and Randi Zlotnik Shaul
Physician understanding, explainability, and trust in a hypothetical machine learning risk calculator.;2020;William K. Diprose and Nicholas Buist and Ning Hua and Quentin-Gabriel Thurier and George Shand and Reece Robinson
Towards Explainability in Machine Learning: The Formal Methods Way.;2020;Frederik Gossen and Tiziana Margaria and Bernhard Steffen
Machine learning applications: reflections on mental health assessment and ethics.;2020;Anja Thieme and Danielle Belgrave and Akane Sano and Gavin Doherty
Expectations of artificial intelligence and the performativity of ethics: Implications for communication governance.;2020;Aphra Kerr and Marguerite Barry and John D. Kelleher
Ethical Applications of Big Data-Driven AI on Social Systems: Literature Analysis and Example Deployment Use Case.;2020;Paulo Garcia and Francine Darroch and Leah West and Lauren BrooksCleator
How does human resource department's client relationship management affect sustainable enterprise performance - in the context of artificial intelligence?;2020;Xiaoling Wang and Ni Lei and Yunzhang Hou
VAMPr: VAriant Mapping and Prediction of antibiotic resistance via explainable features and machine learning.;2020;Jiwoong Kim and David E. Greenberg and Reed Pifer and Shuang Jiang and Guanghua Xiao and Samuel A. Shelburne and Andrew Y. Koh and Yang Xie and Xiaowei Zhan
AI and recruiting software: Ethical and legal implications.;2020;Carmen Fernández-Martínez and Alberto Fernández 0002
Human-Centered Artificial Intelligence: Reliable, Safe & Trustworthy.;2020;Ben Shneiderman
Swarm intelligence-based energy efficient clustering with multihop routing protocol for sustainable wireless sensor networks.;2020;Mohamed Elhoseny and R. Sundar Rajan and Mohammad Hammoudeh and K. Shankar 0002 and Omar Aldabbas 0001
Teaching Explainable Artificial Intelligence to High School Students.;2020;José Maria Alonso
Extent of artificial intelligence into accounting and auditing work - an analytical attempt of job and duties.;2020;Sajed M. Abukhader
Building High Performance Explainable Machine Learning Models for Social Media-based Substance Use Prediction.;2020;Tao Ding and Fatema Hasan and Warren K. Bickel and Shimei Pan
Cultural Intelligence-Investigation of Different Systems for Heritage Sustainable Preservation.;2020;Anastasia Kioussi and Anastasios D. Doulamis and Maria Karoglou and Antonia I. Moropoulou
An intelligent self-sustained RAN slicing framework for diverse service provisioning in 5G-beyond and 6G networks.;2020;Jie Mei 0001 and Xianbin Wang 0001 and Kan Zheng
Predicting and explaining corruption across countries: A machine learning approach.;2020;Marcio Salles Melo Lima and Dursun Delen
Data governance: Organizing data for trustworthy Artificial Intelligence.;2020;Marijn Janssen and Paul Brous and Elsa Estevez and Luís Soares Barbosa and Tomasz Janowski
Using Natural Language Processing and Artificial Intelligence to Explore the Nutrition and Sustainability of Recipes and Food.;2020;Marieke van Erp and Christian Reynolds and Diana Maynard and Alain Starke and Rebeca Ibáñez Martín and Frédéric Andrès and Maria C. A. Leite and Damien Alvarez de Toledo and Ximena Schmidt Rivera and Christoph Trattner and Steven Brewer and Carla Adriano Martins and Alana Kluczkovski and Angelina Frankowska and Sarah Bridle and Renata Bertazzi Levy and Fernanda Rauber and Jacqueline Tereza da Silva and Ulbe Bosma
Explainable AI in Fintech Risk Management.;2020;Niklas Bussmann and Paolo Giudici and Dimitri Marinelli and Jochen Papenbrock
An Explainable Machine Learning Framework for Intrusion Detection Systems.;2020;Stanislav Vojír and Tomás Kliegr
Testing the Generalizability of an Automated Method for Explaining Machine Learning Predictions on Asthma Patients' Asthma Hospital Visits to an Academic Healthcare System.;2020;Fadila Zerka and Visara Urovi and Akshayaa Vaidyanathan and Samir Barakat and Ralph T. H. Leijenaar and Sean Walsh 0004 and Hanif Gabrani-Juma and Benjamin Miraglio and Henry C. Woodruff and Michel Dumontier and Philippe Lambin
Explainable Machine Learning for Scientific Insights and Discoveries.;2020;Maonan Wang and Kangfeng Zheng and Yanqing Yang and Xiujuan Wang
Machine Learning-Based Modeling for the Duration of Load Effect in Wood Structural Members Under Long-Term Sustained Load.;2020;Jaime Urquiza-Fuentes
Considerations for a More Ethical Approach to Data in AI: On Data Representation and Infrastructure.;2020;Alice Baird and Björn W. Schuller
An explainable AI decision-support-system to automate loan underwriting.;2020;Swati Sachan and Jian-Bo Yang and Dong-Ling Xu and David Eraso Benavides and Yang Li
Explaining AI: Are We Ready For It?;2020;Britta Wrede
eXplainable Cooperative Machine Learning with NOVA.;2020;Tobias Baur 0001 and Alexander Heimerl and Florian Lingenfelser and Johannes Wagner 0001 and Michel F. Valstar and Björn W. Schuller and Elisabeth André
Cybertrust: From Explainable to Actionable and Interpretable Artificial Intelligence.;2020;Igor Linkov and Stephanie Elisabeth Galaitsi and Benjamin D. Trump and Jeffrey M. Keisler and Alexander Kott
Applications of Artificial Intelligence Techniques to Enhance Sustainability of Industry 4.0: Design of an Artificial Neural Network Model as Dynamic Behavior Optimizer of Robotic Arms.;2020;Aydin Azizi
Cognitive IoT system with intelligence techniques in sustainable computing environment.;2020;Arun Kumar Sangaiah and Jerline Sheebha Anni Dhanaraj and Prabu Mohandas and Aniello Castiglione
Explainable Artificial Intelligence for 6G: Improving Trust between Human and Machine.;2020;Weisi Guo
Explainable AI and the philosophy and practice of explanation.;2020;Kieron O'Hara
Combining machine learning and process engineering physics towards enhanced accuracy and explainability of data-driven models.;2020;Timur Bikmukhametov and Johannes Jäschke
An Explainable Machine Learning Model for Early Detection of Parkinson's Disease using LIME on DaTSCAN Imagery.;2020;Pavan Rajkumar Magesh and Richard Delwin Myloth and Rijo Jackson Tom
Operationalizing AI ethics principles.;2020;Cansu Canca
An Explainable Artificial Intelligence Model for Clustering Numerical Databases.;2020;Kyung Ho Sun and Hyunsuk Huh and Bayu Adhi Tama and Soo Young Lee and Joon Ha Jung and Seungchul Lee
Sustainability Assessment of Intelligent Manufacturing Supported by Digital Twin.;2020;Ribana Roscher and Bastian Bohn and Marco F. Duarte and Jochen Garcke
Gaining Insight Into Solar Photovoltaic Power Generation Forecasting Utilizing Explainable Artificial Intelligence Tools.;2020;Peng Qi 0001 and Minjuan He and Mengwei Li and Xiuzhi Zheng and Zheng Li 0010 and Chuang Liu 0003 and Xin Zeng and Duo Tao and Xiaoya Qi and Zhong Ma
An Intelligent Irrigation Scheduling System Using Low-Cost Wireless Sensor Network Toward Sustainable and Precision Agriculture.;2020;Simona-Vasilica Oprea and Adela Bâra
Explainable Prediction of Acute Myocardial Infarction Using Machine Learning and Shapley Values.;2020;Octavio Loyola-González and Andrés Eduardo Gutiérrez-Rodríguez and Miguel Angel Medina-Pérez and Raúl Monroy and José Francisco Martínez Trinidad and Jesús Ariel Carrasco-Ochoa and Milton García-Borroto
Explainable Machine Learning for Early Assessment of COVID-19 Risk Prediction in Emergency Departments.;2020;Murat Kuzlu and Umit Cali and Vinayak Sharma and Özgür Güler
Explainability of a Machine Learning Granting Scoring Model in Peer-to-Peer Lending.;2020;Lujain Ibrahim and Munib Mesinovic and Kai-Wen K. Yang and Mohamad A. Eid
Design and implementation of intelligent accounting data analysis platform based on industrial cloud computing.;2020;Wang Ting and Yang Liu
A systematic literature review on machine learning applications for sustainable agriculture supply chain performance.;2020;Rohit Sharma and Sachin S. Kamble and Angappa Gunasekaran and Vikas Kumar 0001 and Anil Kumar 0008
Canada protocol: An ethical checklist for the use of artificial Intelligence in suicide prevention and mental health.;2020;Carl-Maria Mörch and Abhishek Gupta and Brian L. Mishara
Introduction to the Special Issue on AI Fairness, Trust, and Ethics.;2020;Dongxiao Gu and Kaixiang Su and Huimin Zhao 0003
Explainable AI under contract and tort law: legal incentives and technical challenges.;2020;Silvia Milano and Mariarosaria Taddeo and Luciano Floridi
A hybrid intelligence approach for sustainable service innovation of smart and connected product: A case study.;2020;Ron Eglash and Lionel Robert 0001 and Audrey Bennett and Kwame Porter Robinson and Michael Lachney and William Babbitt
Editable machine learning models? A rule-based framework for user studies of explainability.;2020;Philipp Hacker and Ralf Krestel and Stefan Grundmann and Felix Naumann
Artificial intelligence for sustainability: Challenges, opportunities, and a research agenda.;2020;Rohit Nishant and Mike Kennedy and Jacqueline Corbett
The Race Between Cognitive and Artificial Intelligence: Examining Socio-Ethical Collaborative Robots Through Anthropomorphism and Xenocentrism in Human-Robot Interaction.;2020;Anshu Saxena Arora and Amit Arora
Prescriptive Process Analytics with Deep Learning and Explainable Artificial Intelligence.;2020;Nijat Mehdiyev and Peter Fettke
Trustworthy AI: How Ethicswashing Undermines Consumer Trust.;2020;Christian Peukert and Simon Kloker
Explaining probabilistic Artificial Intelligence (AI) models by discretizing Deep Neural Networks.;2020;Rabia Saleem and Bo Yuan 0004 and Fatih Kurugollu and Ashiq Anjum
Ethical Guidelines for Solving Ethical Issues and Developing AI Systems.;2020;Nagadivya Balasubramaniam and Marjo Kauppinen and Sari Kujala and Kari Hiekkanen
From Explainable AI to Human-Centered AI.;2020;Andreas Holzinger
Is There a Contradiction Between Statistics and Fairness: From Intelligent Control to Explainable AI.;2020;Christian Servin and Vladik Kreinovich
Explainable AI: Using Shapley Value to Explain Complex Anomaly Detection ML-Based Systems.;2020;Jinying Zou and Ovanes L. Petrosian
Explainable AI for medical imaging: deep-learning CNN ensemble for classification of estrogen receptor status from breast MRI.;2020;Zachary Papanastasopoulos and Ravi K. Samala and Heang-Ping Chan and Lubomir M. Hadjiiski and Chintana Paramagul and Mark A. Helvie and Colleen H. Neal
Explaining Explainable AI.;2020;Swaroop Panda and Shatarupa Thakurta Roy
Intelligible and Explainable Machine Learning: Best Practices and Practical Challenges.;2020;Rich Caruana and Scott M. Lundberg and Marco Túlio Ribeiro and Harsha Nori and Samuel Jenkins
On evaluating the effects of feedback for Sign language learning using Explainable AI.;2020;Prajwal Paudyal and Ayan Banerjee 0001 and Sandeep K. S. Gupta
XAIT: An Interactive Website for Explainable AI for Text.;2020;Erick Oduor and Kun Qian 0002 and Yunyao Li 0001 and Lucian Popa 0001
Hemp Disease Detection and Classification Using Machine Learning and Deep Learning.;2020;Bipasa Bose and Jyotsna Priya and Sonam Welekar and Zeyu Gao 0002
Looking in the Right Place for Anomalies: Explainable Ai Through Automatic Location Learning.;2020;Satyananda Kashyap and Alexandros Karargyris and Joy T. Wu and Yaniv Gur and Arjun Sharma and Ken C. L. Wong and Mehdi Moradi and Tanveer F. Syeda-Mahmood
Data-driven AI Development: An Integrated and Iterative Bias Mitigation Approach.;2020;Youssef Ennali and Tom M. van Engers
Setting the Time-of-Use Tariff Rates With NoSQL and Machine Learning to a Sustainable Environment.;2020;Yao Tong and Amanda I. Messinger and Gang Luo 0001
Proxy tasks and subjective measures can be misleading in evaluating explainable AI systems.;2020;Zana Buçinca and Phoebe Lin and Krzysztof Z. Gajos and Elena L. Glassman
Explainability of Intelligent Transportation Systems using Knowledge Compilation: a Traffic Light Controller Case.;2020;Salomón Wollenstein-Betech and Christian Muise and Christos G. Cassandras and Ioannis Ch. Paschalidis and Yasaman Khazaeni
Ethical Concerns: An overview of Artificial Intelligence System Development and Life Cycle.;2020;Hassan Al Shazly and Angelo Ferraro and Karen Bennet
Public Accountability: Understanding Sentiments towards Artificial Intelligence across Dispositional Identities.;2020;Brianna Richardson and Diandra Prioleau and Kiana Alikhademi and Juan E. Gilbert
5G Core Network Framework Based on Artificial Intelligence.;2020;Shiyu Zhou and Xiqing Liu and Dengsheng Fu and Xinzhou Cheng and Bin Fu and Zhenqiao Zhao
Mobile Edge Computing for Intelligent Mining Safety: A Case Study of Ventilator.;2020;Yuchun Zhang and Liang Zhao 0004 and Kaiqi Yang and Lexi Xu
Understanding Crowd Intelligence in Large-scale Systems: A Hierarchical Binary Particle Swarm Optimization Approach.;2020;Linqing Zhai and Zheming Yang and Wen Ji
A Quality- Time Model of Heterogeneous Agents Measure for Crowd Intelligence.;2020;Zheming Yang and Wen Ji
Research on Intelligent Optimization of Massive MIMO Coverage Based on 5G MR.;2020;Guoping Xu and Tian Xiao and Tao Tao and Duo Zhang and Wei Li and Hongbing Ma
An Intelligent Evaluation Method of Application Scenario Complexity Level of Unmanned Swarms.;2020;Wenliang Wu and Xingshe Zhou 0001
Crowd Intelligence Empowered Video Transmission in Ultra-low-bandwidth Constrained Circumstances.;2020;Hexiang Qiao and Zheming Yang and Bing Liang and Wen Ji
Research and Application of AI in 5G Network Operation and Maintenance.;2020;Mingxin Li and Mingde Huo and Xinzhou Cheng and Lexi Xu
Capacity Enhancement in LTE Network based on Machine Learning.;2020;Jinge Guo and Zhongsheng Fan and Yang Zhang and Huangtao Song and Bao Guo
Black Box Attacks on Explainable Artificial Intelligence(XAI) methods in Cyber Security.;2020;Aditya Kuppa and Nhien-An Le-Khac
Explainable Artificial Intelligence. Model Discovery with Constraint Programming.;2020;Antoni Ligeza and Pawel Jemiolo and Weronika T. Adrian and Mateusz Slazynski and Marek Adrian and Krystian Jobczyk and Krzysztof Kluza and Bernadetta Stachura-Terlecka and Piotr Wisniewski 0003
"AI Ethics and Customer Care: Some Considerations from the Case of ""Intelligent Sales"".";2020;Christine T. Wolf
Parkinson's Disease Diagnosis: Towards Grammar-based Explainable Artificial Intelligence.;2020;Federica Cavaliere and Antonio Della Cioppa and Angelo Marcelli and Antonio Parziale and Rosa Senatore
Explainable Intelligent Environments.;2020;Davide Carneiro and Fábio Silva and Miguel Guimarães and Daniel Sousa and Paulo Novais
Artificial Intelligence and Data Science Governance: Roles and Responsibilities at the C-Level and the Board.;2020;Bhavani Thuraisingham
Locality Guided Neural Networks for Explainable Artificial Intelligence.;2020;Randy Tan and Naimul Mefraz Khan and Ling Guan
Explaining AI for Malware Detection: Analysis of Mechanisms of MalConv.;2020;Shamik Bose and Timothy Barao and Xiuwen Liu
A Survey of the State of Explainable AI for Natural Language Processing.;2020;Marina Danilevsky and Kun Qian 0002 and Ranit Aharonov and Yannis Katsis and Ban Kawas and Prithviraj Sen
Ethics and Regulation of Artificial Intelligence.;2020;Anthony Wong
Can Artificial Intelligence Effectively Support Sustainable Development?;2020;Eunika Mercier-Laurent
Towards Trustable Explainable AI.;2020;Alexey Ignatiev
Explainable Machine Learning applied to Single-Nucleotide Polymorphisms for Systemic Lupus Erythematosus Prediction.;2020;Marc Jermaine Pontiveros and Geoffrey A. Solano and Cherica A. Tee and Michael L. Tee
A Machine Learning workflow for Diagnosis of Knee Osteoarthritis with a focus on post-hoc explainability.;2020;Christos Kokkotis and Serafeim P. Moustakidis and Elpiniki Papageorgiou and Giannis Giakas and Dimitrios Tsaopoulos
Designing Ethical AI in the Shadow of Hume's Guillotine.;2020;Pertti Saariluoma and Jaana Leikas
Hume's Guillotine in Designing Ethically Intelligent Technologies.;2020;Pertti Saariluoma
Towards a Responsible Intelligent HCI for Journalism: A Systematic Review of Digital Journalism.;2020;Yujin Zhou and Zixian Zhou
Accelerating Sustainable Development with Earth Intelligence.;2020;Madison Musgrave and Matt Hallas and Rhiannan Price and Fabio Pacifici
Do ML Experts Discuss Explainability for AI Systems?;2020;Juliana Jansen Ferreira and Mateus de Souza Monteiro
Explainable AI in Manufacturing: A Predictive Maintenance Case Study.;2020;Bahrudin Hrnjica and Selver Softic
Assessing and Selecting Sustainable and Resilient Suppliers in Agri-Food Supply Chains Using Artificial Intelligence: A Short Review.;2020;Antonio Zavala-Alcívar and María-José Verdecho and Juan José Alfaro Saiz
TRIZ to Solve Challenges for Designing Sustainable, Intelligent and Inclusive Buildings.;2020;Emilia Brad and Anca Stan
Versatile Internet of Things for Agriculture: An eXplainable AI Approach.;2020;Nikolaos L. Tsakiridis and Themistoklis Diamantopoulos and Andreas L. Symeonidis and John B. Theocharis and Athanasios C. Iossifides and Periklis Chatzimisios and George Pratos and Dimitris Kouvas
Trustworthy AI Needs Unbiased Dictators!;2020;Kian Abolfazlian
The Challenges of Urban Data Ethics: Big Data and Intelligent Systems to Support Decision.;2020;Larissa Galdino de Magalhães Santos
Bridging the Gap of Neuroscience, Philosophy, and Evolutionary Biology to Propose an Approach to Machine Learning of Human-Like Ethics.;2020;Nicolás F. Lori and Diana Ferreira and Victor Alves and José Machado 0001
Design of SW Framework for Trustworthy AI-Data Commons.;2020;Sunhwan Lim and Young-Ho Suh and Donghwan Park and Sung-Pil Woo and Chanwon Park
Combinatorial Methods for Explainable AI.;2020;D. Richard Kuhn and Raghu N. Kacker and Yu Lei 0001 and Dimitris E. Simos
Attack-agnostic Adversarial Detection on Medical Data Using Explainable Machine Learning.;2020;Matthew Watson 0001 and Noura Al Moubayed
Random Forest Model and Sample Explainer for Non-experts in Machine Learning - Two Case Studies.;2020;Dragutin Petkovic and A. Alavi and D. Cai and M. Wong
Post-hoc Explanation Options for XAI in Deep Learning: The Insight Centre for Data Analytics Perspective.;2020;Eoin M. Kenny and Eoin D. Delaney and Derek Greene and Mark T. Keane
Reliability of eXplainable Artificial Intelligence in Adversarial Perturbation Scenarios.;2020;Antonio Galli and Stefano Marrone 0002 and Vincenzo Moscato and Carlo Sansone
Explainable Online Validation of Machine Learning Models for Practical Applications.;2020;Wolfgang Fuhl and Yao Rong and Thomas Motz and Michael Scheidt and Andreas Hartel and Andreas Koch and Enkelejda Kasneci
AI Explainability. A Bridge Between Machine Vision and Natural Language Processing.;2020;Mourad Oussalah 0002
Explainability of AI-predictions based on psychological profiling.;2020;Simon Neugebauer and Lukas Rippitsch and Florian Sobieczky and Manuela Geiß
A Comparative Study on Ethics Guidelines for Artificial Intelligence Across Nations.;2020;Tony Szu-Hsieh Lee and Shiang-Yao Liu and Yin-Ling Wei and Li-Yun Chang
An Explainable Machine Learning Framework for Fake Financial News Detection.;2020;Xiaohui Zhang and Qianzhou Du and Zhongju Zhang
White, Grey, Black: Effects of XAI Augmentation on the Confidence in AI-based Decision Support Systems.;2020;Jonas Wanner and Lukas-Valentin Herm and Kai Heinrich and Christian Janiesch and Patrick Zschech
Seeking Ethical use of AI Algorithms: Challenges and Mitigations.;2020;Monideepa Tarafdar and Mike H. M. Teodorescu and Hüseyin Tanriverdi and Lionel Peter Robert and Lily Morse
Using Machine Learning to Improve the Sustainability of the Online Review Market.;2020;Bastin Tony Roy Savarimuthu and Jacqueline Corbett and Muhammad Yasir and Vijaya Lakshmi
SIDU: Similarity Difference And Uniqueness Method for Explainable AI.;2020;Satya M. Muddamsetty and Mohammad N. S. Jahromi and Thomas B. Moeslund
Explained Intelligent Management Decisions in Virtual Networks and Network Slices.;2020;Pedro Martinez-Julia and Ved P. Kafle and Hitoshi Asaeda
Democratization of AI, Albeit Constrained IoT Devices & Tiny ML, for Creating a Sustainable Food Future.;2020;Chandrasekar Vuppalapati and Anitha Ilapakurti and Sharat Kedari and Raja Vuppalapati and Jaya Vuppalapati and Santosh Kedari
Sustainability Is Not Enough: Towards AI Supported Regenerative Design.;2020;Timea Kadar and Manuella Kadar
In Search of Trustworthy and Transparent Intelligent Systems With Human-Like Cognitive and Reasoning Capabilities.;2020;Nikhil R. Pal
Computational Intelligence for Studying Sustainability Challenges: Tools and Methods for Dealing With Deep Uncertainty and Complexity.;2020;Edmundo Molina-Perez and Oscar A. Esquivel-Flores and Hilda Zamora-Maldonado
Toward Trustworthy and Responsible Artificial Intelligence Policy Development.;2020;Raj Madhavan 0001 and Jaclyn A. Kerr and Amanda R. Corcos and Benjamin P. Isaacoff
From responsible robotics towards a human rights regime oriented to the challenges of robotics and artificial intelligence.;2020;Hin-Yan Liu and Karolina Zawieska
Transparency and accountability in AI decision support: Explaining and visualizing convolutional neural networks for text information.;2020;Buomsoo (Raymond) Kim and Jinsoo Park 0001 and Jihae Suh
AI ethics should not remain toothless! A call to bring back the teeth of ethics.;2020;Anais Resseguier and Rowena Rodrigues
The four dimensions of contestable AI diagnostics - A patient-centric approach to explainable AI.;2020;Thomas Ploug and Søren Holm
Decentered ethics in the machine era and guidance for AI regulation.;2020;Christian Hugo Hoffmann and Benjamin Hahn
On conflicts between ethical and logical principles in artificial intelligence.;2020;Giuseppe D'Acquisto
Social choice ethics in artificial intelligence.;2020;Seth D. Baum
Patterns and Anti-Patterns, Principles and Pitfalls: Accountability and Transparency in AI.;2020;Jeanna N. Matthews
